Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
284,Wesley Matthews,SG,30,DAL,73,73,2495,333,847,0.393,174,479,0.363,159,368,0.432,0.496,146,179,0.816,18,241,259,210,77,15,102,161,986
285,Luc Mbah a Moute,SF,30,LAC,80,76,1787,191,378,0.505,43,110,0.391,148,268,0.552,0.562,59,87,0.678,44,126,170,39,81,35,46,122,484
286,James Michael McAdoo,PF,24,GSW,52,2,457,62,117,0.53,2,8,0.25,60,109,0.55,0.538,21,42,0.5,34,57,91,18,18,29,19,47,147
287,Patrick McCaw,SG,21,GSW,71,20,1074,106,245,0.433,41,123,0.333,65,122,0.533,0.516,29,37,0.784,21,79,100,77,32,15,36,62,282
288,C.J. McCollum,SG,25,POR,80,80,2796,692,1441,0.48,185,439,0.421,507,1002,0.506,0.544,268,294,0.912,60,229,289,285,72,42,172,202,1837
289,T.J. McConnell,PG,24,PHI,81,51,2133,236,512,0.461,11,55,0.2,225,457,0.492,0.472,73,90,0.811,39,212,251,534,134,10,159,139,556
290,Chris McCullough,PF,21,TOT,16,0,80,16,32,0.5,1,7,0.143,15,25,0.6,0.516,3,5,0.6,9,10,19,2,2,2,3,7,36
290,Chris McCullough,PF,21,BRK,14,0,72,16,31,0.516,1,6,0.167,15,25,0.6,0.532,2,3,0.667,9,8,17,2,1,2,2,7,35
290,Chris McCullough,PF,21,WAS,2,0,8,0,1,0,0,1,0,0,0,,0,1,2,0.5,0,2,2,0,1,0,1,0,1
291,K.J. McDaniels,SF,23,TOT,49,0,505,77,169,0.456,20,66,0.303,57,103,0.553,0.515,32,38,0.842,15,67,82,13,19,18,29,49,206
291,K.J. McDaniels,SF,23,HOU,29,0,212,31,68,0.456,9,27,0.333,22,41,0.537,0.522,9,10,0.9,6,24,30,4,7,8,10,24,80
291,K.J. McDaniels,SF,23,BRK,20,0,293,46,101,0.455,11,39,0.282,35,62,0.565,0.51,23,28,0.821,9,43,52,9,12,10,19,25,126
292,Doug McDermott,SF,25,TOT,66,5,1508,222,497,0.447,77,208,0.37,145,289,0.502,0.524,71,84,0.845,20,159,179,58,13,5,38,79,592
292,Doug McDermott,SF,25,CHI,44,4,1078,166,373,0.445,56,150,0.373,110,223,0.493,0.52,59,67,0.881,14,116,130,45,11,4,32,57,447
292,Doug McDermott,SF,25,OKC,22,1,430,56,124,0.452,21,58,0.362,35,66,0.53,0.536,12,17,0.706,6,43,49,13,2,1,6,22,145
293,JaVale McGee,C,29,GSW,77,10,739,208,319,0.652,0,3,0,208,316,0.658,0.652,56,111,0.505,100,144,244,17,19,67,40,109,472
294,Rodney McGruder,SG,25,MIA,78,65,1966,190,460,0.413,73,220,0.332,117,240,0.488,0.492,44,71,0.62,94,162,256,124,46,18,56,140,497
295,Ben McLemore,SG,23,SAC,61,26,1176,180,419,0.43,65,170,0.382,115,249,0.462,0.507,70,93,0.753,19,110,129,51,29,6,62,108,495
296,Jordan McRae,SG,25,CLE,37,4,384,58,150,0.387,18,51,0.353,40,99,0.404,0.447,27,34,0.794,6,35,41,19,8,6,14,31,161
297,Josh McRoberts,PF,29,MIA,22,14,381,44,118,0.373,13,31,0.419,31,87,0.356,0.428,6,9,0.667,23,51,74,50,10,4,23,31,107
298,Jodie Meeks,SG,29,ORL,36,10,738,103,256,0.402,56,137,0.409,47,119,0.395,0.512,65,74,0.878,5,72,77,45,34,4,36,41,327
299,Salah Mejri,C,30,DAL,73,11,905,88,137,0.642,1,3,0.333,87,134,0.649,0.646,36,61,0.59,97,211,308,14,32,61,40,152,213
300,Jordan Mickey,PF,22,BOS,25,1,141,15,34,0.441,0,1,0,15,33,0.455,0.441,8,14,0.571,13,21,34,7,3,6,9,12,38
301,Khris Middleton,SF,25,MIL,29,23,889,150,333,0.45,45,104,0.433,105,229,0.459,0.518,81,92,0.88,11,112,123,99,41,7,65,79,426
302,C.J. Miles,SF,29,IND,76,29,1776,281,647,0.434,169,409,0.413,112,238,0.471,0.565,84,93,0.903,30,199,229,48,46,25,40,151,815
303,Mike Miller,SF,36,DEN,20,0,151,9,23,0.391,8,20,0.4,1,3,0.333,0.565,2,2,1,2,36,38,22,2,0,13,9,28
304,Patty Mills,PG,28,SAS,80,8,1754,273,621,0.44,147,355,0.414,126,266,0.474,0.558,66,80,0.825,24,117,141,280,65,3,101,109,759
305,Elijah Millsap,SG,29,PHO,2,0,23,1,7,0.143,0,2,0,1,5,0.2,0.143,1,2,0.5,3,3,6,1,0,0,2,2,3
306,Paul Millsap,PF,31,ATL,69,67,2343,430,972,0.442,75,241,0.311,355,731,0.486,0.481,311,405,0.768,111,422,533,252,90,62,158,186,1246
307,Nikola Mirotic,PF,25,CHI,70,15,1679,258,625,0.413,129,377,0.342,129,248,0.52,0.516,99,128,0.773,61,323,384,75,53,55,80,128,744
308,Greg Monroe,C,26,MIL,81,0,1823,387,726,0.533,0,4,0,387,722,0.536,0.533,177,239,0.741,167,365,532,187,92,38,140,168,951
309,E'Twaun Moore,SG,27,NOP,73,22,1820,283,619,0.457,77,208,0.37,206,411,0.501,0.519,57,74,0.77,33,119,152,164,50,32,62,131,700
310,Marcus Morris,SF,27,DET,79,79,2565,421,1007,0.418,118,357,0.331,303,650,0.466,0.477,145,185,0.784,77,289,366,160,52,25,87,168,1105
311,Markieff Morris,PF,27,WAS,76,76,2374,406,889,0.457,71,196,0.362,335,693,0.483,0.497,180,215,0.837,107,386,493,126,82,42,129,254,1063
312,Anthony Morrow,SG,31,TOT,49,7,714,98,252,0.389,41,133,0.308,57,119,0.479,0.47,34,37,0.919,12,19,31,25,24,2,6,44,271
312,Anthony Morrow,SG,31,OKC,40,7,627,86,223,0.386,35,119,0.294,51,104,0.49,0.464,23,26,0.885,11,18,29,19,22,2,6,40,230
312,Anthony Morrow,SG,31,CHI,9,0,87,12,29,0.414,6,14,0.429,6,15,0.4,0.517,11,11,1,1,1,2,6,2,0,0,4,41
313,Donatas Motiejunas,PF,26,NOP,34,0,479,57,138,0.413,11,47,0.234,46,91,0.505,0.453,25,49,0.51,26,75,101,32,18,11,31,55,150
314,Timofey Mozgov,C,30,LAL,54,52,1104,169,328,0.515,0,1,0,169,327,0.517,0.515,63,78,0.808,104,160,264,43,16,31,72,133,401
315,Emmanuel Mudiay,PG,20,DEN,55,41,1406,208,551,0.377,56,178,0.315,152,373,0.408,0.428,131,167,0.784,29,149,178,217,41,13,123,95,603
316,Shabazz Muhammad,SF,24,MIN,78,1,1516,288,598,0.482,49,145,0.338,239,453,0.528,0.523,147,190,0.774,84,136,220,35,22,6,56,86,772
317,Dejounte Murray,PG,20,SAS,38,8,322,50,116,0.431,9,23,0.391,41,93,0.441,0.47,21,30,0.7,6,36,42,48,8,6,38,29,130
318,Jamal Murray,SG,19,DEN,82,10,1764,295,730,0.404,115,344,0.334,180,386,0.466,0.483,106,120,0.883,41,173,214,170,51,24,113,124,811
319,Mike Muscala,C,25,ATL,70,3,1237,170,337,0.504,46,110,0.418,124,227,0.546,0.573,49,64,0.766,76,164,240,95,30,41,55,97,435
320,Larry Nance Jr.,PF,24,LAL,63,7,1442,190,361,0.526,10,36,0.278,180,325,0.554,0.54,59,80,0.738,120,249,369,96,82,39,56,149,449
321,Shabazz Napier,PG,25,POR,53,2,512,73,183,0.399,34,92,0.37,39,91,0.429,0.492,38,49,0.776,8,53,61,67,32,2,41,38,218
322,Maurice Ndour,PF,24,NYK,32,4,331,39,86,0.453,1,7,0.143,38,79,0.481,0.459,19,26,0.731,22,42,64,8,15,8,12,30,98
323,Gary Neal,SG,32,ATL,2,0,18,0,7,0,0,2,0,0,5,0,0,4,4,1,0,1,1,1,0,0,0,1,4
324,Jameer Nelson,PG,34,DEN,75,39,2045,268,604,0.444,106,273,0.388,162,331,0.489,0.531,45,63,0.714,28,164,192,385,54,8,128,197,687
325,Raul Neto,PG,24,UTA,40,0,346,41,91,0.451,10,31,0.323,31,60,0.517,0.505,8,9,0.889,4,26,30,34,21,5,15,48,100
326,Georges Niang,PF,23,IND,23,0,93,9,36,0.25,1,12,0.083,8,24,0.333,0.264,2,2,1,2,15,17,5,3,0,5,6,21
327,Andrew Nicholson,PF,27,TOT,38,0,342,43,111,0.387,5,27,0.185,38,84,0.452,0.41,9,14,0.643,15,46,61,10,16,6,17,55,100
327,Andrew Nicholson,PF,27,WAS,28,0,231,30,77,0.39,3,16,0.188,27,61,0.443,0.409,7,12,0.583,11,23,34,7,11,6,11,37,70
327,Andrew Nicholson,PF,27,BRK,10,0,111,13,34,0.382,2,11,0.182,11,23,0.478,0.412,2,2,1,4,23,27,3,5,0,6,18,30
328,Joakim Noah,C,31,NYK,46,46,1015,99,202,0.49,0,1,0,99,201,0.493,0.49,34,78,0.436,162,241,403,103,30,37,58,127,232
329,Nerlens Noel,C,22,TOT,51,19,1047,184,309,0.595,0,1,0,184,308,0.597,0.595,77,111,0.694,93,201,294,50,65,50,51,126,445
329,Nerlens Noel,C,22,PHI,29,7,564,107,175,0.611,0,1,0,107,174,0.615,0.611,43,63,0.683,46,98,144,30,43,26,29,71,257
329,Nerlens Noel,C,22,DAL,22,12,483,77,134,0.575,0,0,,77,134,0.575,0.575,34,48,0.708,47,103,150,20,22,24,22,55,188
330,Lucas Nogueira,C,24,TOR,57,6,1088,103,156,0.66,3,12,0.25,100,144,0.694,0.67,44,67,0.657,82,162,244,42,52,89,46,137,253
331,Steve Novak,PF,33,MIL,8,0,22,2,7,0.286,1,6,0.167,1,1,1,0.357,0,0,,0,3,3,0,0,0,0,1,5
332,Dirk Nowitzki,PF,38,DAL,54,54,1424,296,678,0.437,79,209,0.378,217,469,0.463,0.495,98,112,0.875,23,330,353,82,30,38,51,113,769
333,Jusuf Nurkic,C,22,TOT,65,48,1391,271,534,0.507,0,1,0,271,533,0.508,0.507,120,210,0.571,154,313,467,123,50,74,143,161,662
333,Jusuf Nurkic,C,22,DEN,45,29,807,151,298,0.507,0,0,,151,298,0.507,0.507,56,113,0.496,89,171,260,60,25,36,81,88,358
333,Jusuf Nurkic,C,22,POR,20,19,584,120,236,0.508,0,1,0,120,235,0.511,0.508,64,97,0.66,65,142,207,63,25,38,62,73,304
334,David Nwaba,SG,24,LAL,20,2,397,47,81,0.58,1,5,0.2,46,76,0.605,0.586,25,39,0.641,17,46,63,14,13,7,11,36,120
335,Johnny O'Bryant,PF,23,TOT,11,0,80,15,30,0.5,3,6,0.5,12,24,0.5,0.55,5,6,0.833,9,10,19,6,0,1,6,10,38
335,Johnny O'Bryant,PF,23,DEN,7,0,46,7,15,0.467,2,3,0.667,5,12,0.417,0.533,4,4,1,5,6,11,2,0,1,3,4,20
335,Johnny O'Bryant,PF,23,CHO,4,0,34,8,15,0.533,1,3,0.333,7,12,0.583,0.567,1,2,0.5,4,4,8,4,0,0,3,6,18
336,Kyle O'Quinn,C,26,NYK,79,8,1229,215,413,0.521,2,17,0.118,213,396,0.538,0.523,64,83,0.771,157,282,439,117,36,104,76,174,496
337,Daniel Ochefu,C,23,WAS,19,0,75,12,27,0.444,0,0,,12,27,0.444,0.444,0,2,0,5,17,22,3,2,0,3,17,24
338,Jahlil Okafor,C,21,PHI,50,33,1134,242,471,0.514,0,0,,242,471,0.514,0.514,106,158,0.671,81,159,240,58,20,49,91,122,590
339,Victor Oladipo,SG,24,OKC,67,67,2222,412,932,0.442,127,352,0.361,285,580,0.491,0.51,116,154,0.753,39,252,291,176,78,21,119,155,1067
340,Kelly Olynyk,C,25,BOS,75,6,1538,260,508,0.512,68,192,0.354,192,316,0.608,0.579,90,123,0.732,73,288,361,148,43,29,96,207,678
341,Arinze Onuaku,C,29,ORL,8,0,28,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,2,4,6,2,0,1,2,3,4
342,Chinanu Onuaku,C,20,HOU,5,1,52,5,7,0.714,0,0,,5,7,0.714,0.714,4,4,1,2,8,10,3,3,1,4,6,14
343,Kelly Oubre,SF,21,WAS,79,5,1605,186,442,0.421,54,188,0.287,132,254,0.52,0.482,75,99,0.758,61,200,261,47,58,17,50,195,501
344,Zaza Pachulia,C,32,GSW,70,70,1268,164,307,0.534,0,2,0,164,305,0.538,0.534,98,126,0.778,140,270,410,132,59,33,87,166,426
345,Georgios Papagiannis,C,19,SAC,22,0,355,56,102,0.549,0,2,0,56,100,0.56,0.549,12,14,0.857,24,62,86,20,3,17,24,44,124
346,Jabari Parker,PF,21,MIL,51,50,1728,399,814,0.49,65,178,0.365,334,636,0.525,0.53,162,218,0.743,79,235,314,142,50,22,93,111,1025
347,Tony Parker,PG,34,SAS,63,63,1587,265,569,0.466,23,69,0.333,242,500,0.484,0.486,85,117,0.726,9,104,113,285,34,2,89,92,638
348,Chandler Parsons,SF,28,MEM,34,34,675,75,222,0.338,25,93,0.269,50,129,0.388,0.394,35,43,0.814,6,78,84,55,20,5,24,52,210
349,Lamar Patterson,SG,25,ATL,5,0,40,3,15,0.2,1,6,0.167,2,9,0.222,0.233,2,3,0.667,1,6,7,6,1,0,4,6,9
350,Patrick Patterson,PF,27,TOR,65,8,1599,154,384,0.401,94,253,0.372,60,131,0.458,0.523,43,60,0.717,62,231,293,76,40,23,38,120,445
351,Chris Paul,PG,31,LAC,61,61,1921,374,785,0.476,124,302,0.411,250,483,0.518,0.555,232,260,0.892,40,264,304,563,119,8,147,146,1104
352,Adreian Payne,PF,25,MIN,18,0,135,23,54,0.426,3,15,0.2,20,39,0.513,0.454,14,19,0.737,9,24,33,7,8,7,8,32,63
353,Cameron Payne,PG,22,TOT,31,0,462,64,193,0.332,27,86,0.314,37,107,0.346,0.402,5,8,0.625,3,45,48,55,14,4,29,52,160
353,Cameron Payne,PG,22,OKC,20,0,320,43,130,0.331,16,52,0.308,27,78,0.346,0.392,4,4,1,2,29,31,40,10,4,16,38,106
353,Cameron Payne,PG,22,CHI,11,0,142,21,63,0.333,11,34,0.324,10,29,0.345,0.421,1,4,0.25,1,16,17,15,4,0,13,14,54
354,Elfrid Payton,PG,22,ORL,82,58,2412,430,912,0.471,40,146,0.274,390,766,0.509,0.493,146,211,0.692,89,298,387,529,88,40,178,177,1046
355,Gary Payton,PG,24,MIL,6,0,99,8,22,0.364,1,9,0.111,7,13,0.538,0.386,3,5,0.6,0,12,12,13,3,4,10,9,20
356,Paul Pierce,SF,39,LAC,25,7,277,28,70,0.4,15,43,0.349,13,27,0.481,0.507,10,13,0.769,1,47,48,10,4,5,16,40,81
357,Marshall Plumlee,C,24,NYK,21,1,170,16,30,0.533,0,0,,16,30,0.533,0.533,8,19,0.421,23,28,51,10,4,4,12,23,40
358,Mason Plumlee,C,26,TOT,81,64,2148,334,623,0.536,0,6,0,334,617,0.541,0.536,174,300,0.58,170,435,605,284,69,92,134,226,842
358,Mason Plumlee,C,26,POR,54,54,1516,235,442,0.532,0,5,0,235,437,0.538,0.532,127,224,0.567,120,312,432,214,50,63,88,149,597
358,Mason Plumlee,C,26,DEN,27,10,632,99,181,0.547,0,1,0,99,180,0.55,0.547,47,76,0.618,50,123,173,70,19,29,46,77,245
359,Miles Plumlee,C,28,TOT,45,12,484,44,92,0.478,0,0,,44,92,0.478,0.478,25,39,0.641,38,57,95,21,18,13,30,73,113
359,Miles Plumlee,C,28,MIL,32,12,310,30,68,0.441,0,0,,30,68,0.441,0.441,22,35,0.629,23,30,53,18,11,9,22,48,82
359,Miles Plumlee,C,28,CHO,13,0,174,14,24,0.583,0,0,,14,24,0.583,0.583,3,4,0.75,15,27,42,3,7,4,8,25,31
360,Jakob Poeltl,C,21,TOR,54,4,626,67,115,0.583,0,0,,67,115,0.583,0.583,31,57,0.544,78,87,165,12,17,20,29,113,165
361,Otto Porter,SF,23,WAS,80,80,2605,414,803,0.516,148,341,0.434,266,462,0.576,0.608,99,119,0.832,118,396,514,121,116,42,44,193,1075
362,Bobby Portis,PF,21,CHI,64,13,1000,183,375,0.488,32,96,0.333,151,279,0.541,0.531,39,59,0.661,75,221,296,35,16,11,37,94,437
363,Kristaps Porzingis,PF,21,NYK,66,65,2164,443,985,0.45,112,314,0.357,331,671,0.493,0.507,198,252,0.786,111,364,475,97,47,129,118,244,1196
364,Dwight Powell,C,25,DAL,77,3,1333,194,377,0.515,21,74,0.284,173,303,0.571,0.542,107,141,0.759,93,213,306,49,61,39,34,135,516
365,Norman Powell,SG,23,TOR,76,18,1368,227,506,0.449,56,173,0.324,171,333,0.514,0.504,126,159,0.792,26,143,169,82,52,14,70,127,636
366,Alex Poythress,PF,23,PHI,6,1,157,25,54,0.463,6,19,0.316,19,35,0.543,0.519,8,10,0.8,11,18,29,5,3,2,3,14,64
367,Ronnie Price,PG,33,PHO,14,0,134,4,24,0.167,3,17,0.176,1,7,0.143,0.229,3,4,0.75,3,8,11,18,11,1,3,14,14
368,Tim Quarterman,SG,22,POR,16,0,80,13,29,0.448,5,13,0.385,8,16,0.5,0.534,0,3,0,4,10,14,11,2,3,11,6,31
369,Chasson Randle,PG,23,TOT,26,0,299,40,98,0.408,16,47,0.34,24,51,0.471,0.49,41,43,0.953,6,26,32,34,9,2,19,39,137
369,Chasson Randle,PG,23,PHI,8,0,74,12,26,0.462,6,15,0.4,6,11,0.545,0.577,12,12,1,0,5,5,6,3,1,3,11,42
369,Chasson Randle,PG,23,NYK,18,0,225,28,72,0.389,10,32,0.313,18,40,0.45,0.458,29,31,0.935,6,21,27,28,6,1,16,28,95
370,Julius Randle,PF,22,LAL,74,73,2132,377,773,0.488,17,63,0.27,360,710,0.507,0.499,204,282,0.723,150,486,636,264,49,37,173,248,975
371,Zach Randolph,PF,35,MEM,73,5,1786,433,964,0.449,21,94,0.223,412,870,0.474,0.46,141,193,0.731,182,416,598,122,38,10,99,136,1028
372,J.J. Redick,SG,32,LAC,78,78,2198,396,890,0.445,201,468,0.429,195,422,0.462,0.558,180,202,0.891,11,160,171,110,54,13,98,125,1173
373,Willie Reed,C,26,MIA,71,5,1031,162,285,0.568,1,4,0.25,161,281,0.573,0.57,49,88,0.557,129,203,332,26,18,47,31,137,374
374,Josh Richardson,SG,23,MIA,53,34,1614,202,513,0.394,75,227,0.33,127,286,0.444,0.467,60,77,0.779,35,133,168,140,60,39,65,132,539
375,Malachi Richardson,SG,21,SAC,22,0,198,28,68,0.412,8,28,0.286,20,40,0.5,0.471,15,19,0.789,3,20,23,11,5,1,8,23,79
376,Austin Rivers,SG,24,LAC,74,29,2054,323,731,0.442,111,299,0.371,212,432,0.491,0.518,132,191,0.691,20,141,161,204,48,10,115,187,889
377,Andre Roberson,SF,25,OKC,79,79,2376,215,463,0.464,45,184,0.245,170,279,0.609,0.513,47,111,0.423,98,305,403,79,94,79,51,204,522
378,Brian Roberts,PG,31,CHO,41,2,416,46,122,0.377,17,44,0.386,29,78,0.372,0.447,33,39,0.846,5,34,39,52,9,1,26,18,142
379,Glenn Robinson,SF,23,IND,69,27,1427,158,338,0.467,49,125,0.392,109,213,0.512,0.54,54,76,0.711,57,189,246,47,41,20,37,63,419
380,Thomas Robinson,PF,25,LAL,48,1,560,105,196,0.536,0,1,0,105,195,0.538,0.536,31,66,0.47,84,139,223,31,26,9,46,76,241
381,Sergio Rodriguez,PG,30,PHI,68,30,1518,210,536,0.392,92,252,0.365,118,284,0.415,0.478,18,27,0.667,21,136,157,344,49,4,128,95,530
382,Rajon Rondo,PG,30,CHI,69,42,1843,229,561,0.408,50,133,0.376,179,428,0.418,0.453,30,50,0.6,73,282,355,461,99,11,169,144,538
383,Derrick Rose,PG,28,NYK,64,64,2082,460,977,0.471,13,60,0.217,447,917,0.487,0.477,221,253,0.874,66,180,246,283,44,17,147,84,1154
384,Terrence Ross,SF,25,TOT,78,24,1955,326,746,0.437,142,391,0.363,184,355,0.518,0.532,64,77,0.831,18,188,206,88,87,33,68,143,858
384,Terrence Ross,SF,25,TOR,54,0,1207,211,479,0.441,96,256,0.375,115,223,0.516,0.541,41,50,0.82,14,124,138,45,53,20,33,82,559
384,Terrence Ross,SF,25,ORL,24,24,748,115,267,0.431,46,135,0.341,69,132,0.523,0.517,23,27,0.852,4,64,68,43,34,13,35,61,299
385,Terry Rozier,PG,22,BOS,74,0,1263,151,411,0.367,57,179,0.318,94,232,0.405,0.437,51,66,0.773,40,187,227,131,46,11,47,69,410
386,Ricky Rubio,PG,26,MIN,75,75,2469,261,650,0.402,60,196,0.306,201,454,0.443,0.448,254,285,0.891,68,237,305,682,128,10,195,202,836
387,Damjan Rudez,SF,30,ORL,45,0,314,31,88,0.352,20,64,0.313,11,24,0.458,0.466,0,0,,5,20,25,20,12,1,9,31,82
388,Brandon Rush,SG,31,MIN,47,33,1030,70,187,0.374,44,114,0.386,26,73,0.356,0.492,13,18,0.722,16,83,99,45,22,23,28,42,197
389,D'Angelo Russell,PG,20,LAL,63,60,1811,351,867,0.405,135,384,0.352,216,483,0.447,0.483,147,188,0.782,31,190,221,303,87,16,176,130,984
390,Domantas Sabonis,PF,20,OKC,81,66,1632,192,481,0.399,51,159,0.321,141,322,0.438,0.452,44,67,0.657,46,242,288,82,39,32,83,200,479
391,Larry Sanders,C,28,CLE,5,0,13,1,4,0.25,0,0,,1,4,0.25,0.25,2,2,1,3,1,4,0,1,1,2,5,4
392,Dario Saric,PF,22,PHI,81,36,2129,381,927,0.411,106,341,0.311,275,586,0.469,0.468,172,220,0.782,112,401,513,182,57,30,183,162,1040
393,Tomas Satoransky,SG,25,WAS,57,3,719,61,147,0.415,9,37,0.243,52,110,0.473,0.446,23,33,0.697,25,58,83,92,26,6,38,60,154
394,Dennis Schroder,PG,23,ATL,79,78,2485,548,1214,0.451,100,294,0.34,448,920,0.487,0.493,218,255,0.855,42,206,248,499,74,16,258,149,1414
395,Luis Scola,PF,36,BRK,36,1,461,71,151,0.47,17,50,0.34,54,101,0.535,0.526,25,37,0.676,51,88,139,37,14,4,34,63,184
396,Mike Scott,PF,28,ATL,18,0,195,17,59,0.288,4,27,0.148,13,32,0.406,0.322,7,8,0.875,10,27,37,17,4,3,8,12,45
397,Thabo Sefolosha,SF,32,ATL,62,42,1596,174,395,0.441,41,120,0.342,133,275,0.484,0.492,55,75,0.733,54,216,270,107,96,31,58,97,444
398,Wayne Selden,SG,22,TOT,14,5,236,25,58,0.431,7,28,0.25,18,30,0.6,0.491,14,22,0.636,1,15,16,13,6,1,12,18,71
398,Wayne Selden,SG,22,NOP,3,3,47,5,8,0.625,4,7,0.571,1,1,1,0.875,2,4,0.5,0,5,5,1,2,0,3,6,16
398,Wayne Selden,SG,22,MEM,11,2,189,20,50,0.4,3,21,0.143,17,29,0.586,0.43,12,18,0.667,1,10,11,12,4,1,9,12,55
399,Kevin Seraphin,PF,27,IND,49,3,559,109,198,0.551,0,2,0,109,196,0.556,0.551,14,22,0.636,41,101,142,23,7,20,29,66,232
400,Ramon Sessions,PG,30,CHO,50,1,811,100,263,0.38,21,62,0.339,79,201,0.393,0.42,91,118,0.771,11,62,73,129,27,3,46,43,312
401,Iman Shumpert,SG,26,CLE,76,31,1937,201,489,0.411,94,261,0.36,107,228,0.469,0.507,71,90,0.789,39,179,218,109,62,27,78,150,567
402,Pascal Siakam,PF,22,TOR,55,38,859,103,205,0.502,1,7,0.143,102,198,0.515,0.505,22,32,0.688,64,121,185,17,26,45,33,109,229
403,Jonathon Simmons,SG,27,SAS,78,8,1392,177,421,0.42,30,102,0.294,147,319,0.461,0.456,99,132,0.75,20,140,160,126,47,25,76,146,483
404,Kyle Singler,SF,28,OKC,32,2,385,34,83,0.41,7,37,0.189,27,46,0.587,0.452,13,17,0.765,8,40,48,9,7,5,11,29,88
405,Marcus Smart,SG,22,BOS,79,24,2399,269,749,0.359,94,332,0.283,175,417,0.42,0.422,203,250,0.812,78,227,305,364,125,34,159,192,835
406,Ish Smith,PG,28,DET,81,32,1955,329,749,0.439,28,105,0.267,301,644,0.467,0.458,72,102,0.706,21,214,235,418,61,33,112,127,758
407,J.R. Smith,SG,31,CLE,41,35,1187,123,356,0.346,95,271,0.351,28,85,0.329,0.479,10,15,0.667,17,96,113,62,40,11,26,77,351
408,Jason Smith,C,30,WAS,74,3,1068,174,329,0.529,37,78,0.474,137,251,0.546,0.585,35,51,0.686,64,194,258,37,21,54,58,168,420
409,Tony Snell,SG,25,MIL,80,80,2336,246,541,0.455,144,355,0.406,102,186,0.548,0.588,47,58,0.81,22,226,248,96,55,14,55,125,683
410,Marreese Speights,C,29,LAC,82,2,1286,244,548,0.445,103,277,0.372,141,271,0.52,0.539,120,137,0.876,88,285,373,65,23,41,69,229,711
411,Tiago Splitter,C,32,PHI,8,0,76,14,31,0.452,2,6,0.333,12,25,0.48,0.484,9,11,0.818,8,14,22,4,1,1,6,8,39
412,Nik Stauskas,SG,23,PHI,80,27,2188,251,634,0.396,132,359,0.368,119,275,0.433,0.5,122,150,0.813,21,205,226,188,45,32,128,144,756
413,Lance Stephenson,SG,26,TOT,18,0,361,54,120,0.45,6,20,0.3,48,100,0.48,0.475,8,13,0.615,4,48,52,59,5,3,26,32,122
413,Lance Stephenson,SG,26,NOP,6,0,162,26,55,0.473,1,10,0.1,25,45,0.556,0.482,5,8,0.625,3,15,18,29,2,1,11,18,58
413,Lance Stephenson,SG,26,MIN,6,0,67,10,21,0.476,0,2,0,10,19,0.526,0.476,1,2,0.5,0,10,10,5,0,0,4,2,21
413,Lance Stephenson,SG,26,IND,6,0,132,18,44,0.409,5,8,0.625,13,36,0.361,0.466,2,3,0.667,1,23,24,25,3,2,11,12,43
414,Jarnell Stokes,C,23,DEN,2,0,7,1,1,1,0,0,,1,1,1,1,1,2,0.5,1,1,2,2,1,0,0,3,3
415,Diamond Stone,C,19,LAC,7,0,24,3,13,0.231,0,0,,3,13,0.231,0.231,4,4,1,1,5,6,0,0,1,2,5,10
416,Rodney Stuckey,PG,30,IND,39,0,696,91,244,0.373,19,60,0.317,72,184,0.391,0.412,80,107,0.748,6,78,84,84,16,0,53,44,281
417,Jared Sullinger,PF,24,TOR,11,1,118,15,47,0.319,3,18,0.167,12,29,0.414,0.351,4,8,0.5,10,17,27,3,4,1,4,17,37
418,Edy Tavares,C,24,TOT,2,0,28,4,5,0.8,0,0,,4,5,0.8,0.8,0,3,0,4,7,11,1,0,6,2,3,8
418,Edy Tavares,C,24,ATL,1,0,4,1,1,1,0,0,,1,1,1,1,0,2,0,0,1,1,0,0,0,0,0,2
418,Edy Tavares,C,24,CLE,1,0,24,3,4,0.75,0,0,,3,4,0.75,0.75,0,1,0,4,6,10,1,0,6,2,3,6
419,Isaiah Taylor,PG,22,HOU,4,0,52,1,7,0.143,0,2,0,1,5,0.2,0.143,1,2,0.5,1,2,3,3,1,1,0,6,3
420,Jeff Teague,PG,28,IND,82,82,2657,402,909,0.442,90,252,0.357,312,657,0.475,0.492,360,415,0.867,33,297,330,639,100,32,216,165,1254
421,Mirza Teletovic,PF,31,MIL,70,2,1133,156,418,0.373,104,305,0.341,52,113,0.46,0.498,35,45,0.778,11,151,162,48,12,13,37,109,451
422,Garrett Temple,SG,30,SAC,65,21,1728,183,432,0.424,82,220,0.373,101,212,0.476,0.519,58,74,0.784,32,152,184,168,84,28,78,141,506
423,Jason Terry,SG,39,MIL,74,0,1365,105,243,0.432,73,171,0.427,32,72,0.444,0.582,24,29,0.828,15,91,106,98,46,20,36,95,307
424,Isaiah Thomas,PG,27,BOS,76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,0.546,590,649,0.909,43,162,205,448,70,13,210,167,2199
425,Lance Thomas,PF,28,NYK,46,15,968,97,244,0.398,38,85,0.447,59,159,0.371,0.475,43,51,0.843,32,110,142,35,21,5,25,85,275
