,lg_id,wins,losses,rank_team,srs,pace,pace_rel,off_rtg,off_rtg_rel,def_rtg,def_rtg_rel,team_id,foo,avg_age,avg_ht,avg_wt,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,year,team,games,win_pct,win_logratio,net_rtg,rtg_logratio
1,NBA,40.0,42.0,3.0,-0.92,103.1,-1.4,97.1,-0.6,98.3,0.6,NYK,,27.7,6-5,205.0,82.0,19730.0,3359.0,7464.0,0.45,,,,3359.0,7464.0,0.45,1518.0,1967.0,0.772,981.0,2652.0,3633.0,1675.0,652.0,300.0,1374.0,2001.0,8236.0,1974-75,NYK,82.0,0.4878048780487805,-0.048790164169432056,-1.2000000000000028,-0.012282651855841695
1,NBA,49.0,33.0,2.0,2.16,107.7,3.2,99.8,2.1,97.8,0.1,BUF,,26.4,6-5,199.0,82.0,19730.0,3552.0,7469.0,0.476,,,,3552.0,7469.0,0.476,1735.0,2224.0,0.78,1108.0,2735.0,3843.0,2063.0,718.0,456.0,1710.0,1879.0,8839.0,1974-75,LAC,82.0,0.5975609756097561,0.3953127366441464,2.0,0.020243606276646595
1,NBA,32.0,50.0,4.0,-2.36,104.3,-0.2,96.4,-1.3,98.6,0.9,PHO,,25.9,6-6,205.0,82.0,19805.0,3381.0,7561.0,0.447,,,,3381.0,7561.0,0.447,1535.0,2082.0,0.737,1349.0,2684.0,4033.0,1879.0,664.0,317.0,1760.0,2090.0,8297.0,1974-75,PHO,82.0,0.3902439024390244,-0.4462871026284195,-2.1999999999999886,-0.022565059992089676
1,NBA,41.0,41.0,2.0,0.84,102.9,-1.6,100.4,2.7,99.4,1.7,HOU,,25.2,6-5,202.0,82.0,19780.0,3448.0,7231.0,0.477,,,,3448.0,7231.0,0.477,1625.0,2034.0,0.799,1177.0,2495.0,3672.0,2155.0,746.0,351.0,1759.0,2068.0,8521.0,1974-75,HOU,82.0,0.5,0.0,1.0,0.010010093595100425
1,NBA,47.0,35.0,1.0,2.88,99.7,-4.8,97.4,-0.3,94.4,-3.3,CHI,,30.2,6-6,204.0,82.0,19880.0,3167.0,7085.0,0.447,,,,3167.0,7085.0,0.447,1711.0,2203.0,0.777,1107.0,2786.0,3893.0,1840.0,668.0,379.0,1482.0,1952.0,8045.0,1974-75,CHI,82.0,0.573170731707317,0.2947995402206448,3.0,0.03128513749703444
1,ABA,58.0,26.0,2.0,6.58,103.4,0.3,106.3,1.6,98.9,-5.8,NYA,,24.5,6-5,201.0,84.0,20385.0,3879.0,7943.0,0.488,69.0,252.0,0.274,3810.0,7691.0,0.495,1501.0,1929.0,0.778,1214.0,2776.0,3990.0,2007.0,917.0,516.0,1402.0,1947.0,9328.0,1974-75,NJN,84.0,0.6904761904761905,0.8023464725249373,7.3999999999999915,0.07215604671923576
1,ABA,65.0,19.0,1.0,6.63,107.6,4.5,109.4,4.7,102.7,-2.0,DNA,,25.2,6-6,199.0,84.0,20335.0,3953.0,7764.0,0.509,22.0,102.0,0.216,3931.0,7662.0,0.513,2041.0,2546.0,0.802,1285.0,2531.0,3816.0,2450.0,975.0,501.0,1821.0,2065.0,9969.0,1974-75,DEN,84.0,0.7738095238095238,1.2299482907291965,6.700000000000003,0.06319877305336837
1,NBA,30.0,52.0,5.0,-3.94,106.4,1.9,96.1,-1.6,99.9,2.2,LAL,,28.2,6-5,205.0,82.0,19855.0,3409.0,7577.0,0.45,,,,3409.0,7577.0,0.45,1641.0,2182.0,0.752,1312.0,2763.0,4075.0,2091.0,755.0,423.0,1785.0,2079.0,8459.0,1974-75,LAL,82.0,0.36585365853658536,-0.5500463369192721,-3.8000000000000114,-0.03878036967826117
1,NBA,60.0,22.0,1.0,5.4,106.1,1.6,100.0,2.3,94.7,-3.0,BOS,,29.1,6-5,208.0,82.0,19755.0,3587.0,7825.0,0.458,,,,3587.0,7825.0,0.458,1560.0,1971.0,0.791,1315.0,2949.0,4264.0,2159.0,662.0,288.0,1625.0,1913.0,8734.0,1974-75,BOS,82.0,0.7317073170731707,1.0033021088637848,5.299999999999997,0.05445618579605875
0,NBA,23.0,59.0,5.0,-7.3,109.4,4.9,92.5,-5.2,99.7,2.0,NOJ,,26.0,6-6,202.0,82.0,19730.0,3301.0,7509.0,0.44,,,,3301.0,7509.0,0.44,1717.0,2247.0,0.764,1144.0,2616.0,3760.0,1818.0,725.0,256.0,1802.0,2222.0,8319.0,1974-75,UTA,82.0,0.2804878048780488,-0.9420432279765697,-7.200000000000003,-0.07495703244941314
1,NBA,40.0,42.0,3.0,-1.19,100.5,-4.0,98.3,0.6,99.7,2.0,DET,,26.6,6-6,209.0,82.0,19705.0,3289.0,7053.0,0.466,,,,3289.0,7053.0,0.466,1533.0,1975.0,0.776,1002.0,2515.0,3517.0,1916.0,679.0,380.0,1557.0,1866.0,8111.0,1974-75,DET,82.0,0.4878048780487805,-0.048790164169432056,-1.4000000000000057,-0.014141649814671853
1,NBA,60.0,22.0,1.0,6.53,106.1,1.6,98.0,0.3,91.3,-6.4,WSB,,26.6,6-5,207.0,82.0,19805.0,3555.0,7697.0,0.462,,,,3555.0,7697.0,0.462,1475.0,1962.0,0.752,1133.0,2764.0,3897.0,2005.0,929.0,409.0,1594.0,1961.0,8585.0,1974-75,WAS,82.0,0.7317073170731707,1.0033021088637848,6.700000000000003,0.07081669106964918
1,ABA,45.0,39.0,3.0,1.14,105.1,2.0,106.7,2.0,105.7,1.0,INA,,24.3,6-5,205.0,84.0,20260.0,3891.0,8365.0,0.465,224.0,718.0,0.312,3667.0,7647.0,0.48,1465.0,1969.0,0.744,1673.0,2565.0,4238.0,1927.0,890.0,413.0,1543.0,1946.0,9471.0,1974-75,IND,84.0,0.5357142857142857,0.14310084364067324,1.0,0.009416265431515686
1,NBA,48.0,34.0,1.0,2.86,107.6,3.1,100.4,2.7,97.3,-0.4,GSW,,25.8,6-5,198.0,82.0,19780.0,3714.0,7981.0,0.465,,,,3714.0,7981.0,0.465,1470.0,1915.0,0.768,1416.0,2854.0,4270.0,2076.0,972.0,365.0,1716.0,2109.0,8898.0,1974-75,GSW,82.0,0.5853658536585366,0.3448404862917296,3.1000000000000085,0.03136321806566943
1,NBA,38.0,44.0,4.0,0.25,102.1,-2.4,98.0,0.3,97.8,0.1,MIL,,26.2,6-6,205.0,82.0,19805.0,3450.0,7367.0,0.468,,,,3450.0,7367.0,0.468,1354.0,1746.0,0.775,1021.0,2766.0,3787.0,1932.0,596.0,400.0,1540.0,1949.0,8254.0,1974-75,MIL,82.0,0.4634146341463415,-0.1466034741918754,0.20000000000000284,0.002042901629800331
1,NBA,34.0,48.0,4.0,-2.6,103.4,-1.1,95.8,-1.9,98.8,1.1,PHI,,27.7,6-6,198.0,82.0,19805.0,3325.0,7476.0,0.445,,,,3325.0,7476.0,0.445,1530.0,2043.0,0.749,1200.0,2706.0,3906.0,1709.0,576.0,263.0,1591.0,1974.0,8180.0,1974-75,PHI,82.0,0.4146341463414634,-0.3448404862917295,-3.0,-0.03083491977700728
