Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
415,8,Oct 15 2016,3:30 PM,Sat,(11) Baylor,49,,Kansas,7,,McLane Stadium - Waco Texas
416,8,Oct 15 2016,10:15 PM,Sat,(15) Boise State,28,,Colorado State,23,,Albertsons Stadium - Boise Idaho
417,8,Oct 15 2016,3:30 PM,Sat,Central Michigan,34,@,Northern Illinois,28,,Huskie Stadium - DeKalb Illinois
418,8,Oct 15 2016,12:00 PM,Sat,(3) Clemson,24,,North Carolina State,17,,Clemson Memorial Stadium - Clemson South Carolina
419,8,Oct 15 2016,8:00 PM,Sat,Colorado,40,,Arizona State,16,,Folsom Field - Boulder Colorado
420,8,Oct 15 2016,2:00 PM,Sat,Eastern Michigan,27,@,Ohio,20,,Peden Stadium - Athens Ohio
421,8,Oct 15 2016,4:00 PM,Sat,(18) Florida,40,,Missouri,14,,Ben Hill Griffin Stadium - Gainesville Florida
422,8,Oct 15 2016,6:00 PM,Sat,Florida International,27,@,Charlotte,26,,Jerry Richardson Stadium - Charlotte North Carolina
423,8,Oct 15 2016,3:30 PM,Sat,(14) Florida State,17,,Wake Forest,6,,Doak Campbell Stadium - Tallahassee Florida
424,8,Oct 15 2016,12:30 PM,Sat,Georgia Tech,35,,Georgia Southern,24,,Bobby Dodd Stadium - Atlanta Georgia
425,8,Oct 15 2016,7:00 PM,Sat,(13) Houston,38,,Tulsa,31,,TDECU Stadium - Houston Texas
426,8,Oct 15 2016,5:00 PM,Sat,Idaho,55,,New Mexico State,23,,Kibbie Dome - Moscow Idaho
427,8,Oct 15 2016,12:00 PM,Sat,Illinois,24,@,Rutgers,7,,High Points Solutions Stadium - Piscataway New Jersey
428,8,Oct 15 2016,12:00 PM,Sat,Iowa,49,@,Purdue,35,,Ross Ade Stadium - West Lafayette Indiana
429,8,Oct 15 2016,7:30 PM,Sat,Louisiana State,45,,Southern Mississippi,10,,Tiger Stadium - Baton Rouge Louisiana
430,8,Oct 15 2016,3:30 PM,Sat,Louisiana Tech,56,@,Massachusetts,28,,Gillette Stadium - Foxborough Massachusetts
431,8,Oct 15 2016,7:00 PM,Sat,Louisiana-Monroe,40,,Texas State,34,,Malone Stadium - Monroe Louisiana
432,8,Oct 15 2016,7:00 PM,Sat,Marshall,27,,Florida Atlantic,21,,Joan C. Edwards Stadium - Huntington West Virginia
433,8,Oct 15 2016,2:30 PM,Sat,Miami (OH),18,,Kent State,14,,Fred Yager Stadium - Oxford Ohio
434,8,Oct 15 2016,12:00 PM,Sat,Minnesota,31,@,Maryland,10,,Maryland Stadium - College Park Maryland
435,8,Oct 15 2016,3:30 PM,Sat,(10) Nebraska,27,@,Indiana,22,,Memorial Stadium - Bloomington Indiana
436,8,Oct 15 2016,11:59 PM,Sat,Nevada-Las Vegas,41,@,Hawaii,38,,Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu Hawaii
437,8,Oct 15 2016,3:30 PM,Sat,New Mexico,45,,Air Force,40,,Cotton Bowl Stadium - Dallas Texas
438,8,Oct 15 2016,3:30 PM,Sat,North Carolina,20,@,(16) Miami (FL),13,,Hard Rock Stadium - Miami Gardens Florida
439,8,Oct 15 2016,3:30 PM,Sat,Northwestern,54,@,Michigan State,40,,Spartan Stadium - East Lansing Michigan
440,8,Oct 15 2016,8:00 PM,Sat,(2) Ohio State,30,@,(8) Wisconsin,23,ABC,Camp Randall Stadium - Madison Wisconsin
441,8,Oct 15 2016,12:00 PM,Sat,(19) Oklahoma,38,,Kansas State,17,,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
442,8,Oct 15 2016,12:30 PM,Sat,Pittsburgh,45,@,Virginia,31,,Scott Stadium - Charlottesville Virginia
443,8,Oct 15 2016,10:30 PM,Sat,San Jose State,14,,Nevada,10,CBSSN,CEFCU Stadium - San Jose California
444,8,Oct 15 2016,7:00 PM,Sat,South Florida,42,,Connecticut,27,,Raymond James Stadium - Tampa Florida
445,8,Oct 15 2016,3:30 PM,Sat,Southern California,48,@,Arizona,14,,Arizona Stadium - Tucson Arizona
446,8,Oct 15 2016,7:30 PM,Sat,Stanford,17,@,Notre Dame,10,NBC,Notre Dame Stadium - South Bend Indiana
447,8,Oct 15 2016,3:45 PM,Sat,Syracuse,31,,(17) Virginia Tech,17,,Carrier Dome - Syracuse New York
448,8,Oct 15 2016,7:30 PM,Sat,Temple,26,@,Central Florida,25,,Bright House Networks Stadium - Orlando Florida
449,8,Oct 15 2016,7:00 PM,Sat,Texas,27,,Iowa State,6,,Darrell K Royal-Texas Memorial Stadium - Austin Texas
450,8,Oct 15 2016,7:00 PM,Sat,Texas-San Antonio,14,@,Rice,13,,Rice Stadium - Houston Texas
451,8,Oct 15 2016,3:30 PM,Sat,Toledo,42,,Bowling Green State,35,,Glass Bowl - Toledo Ohio
452,8,Oct 15 2016,3:30 PM,Sat,Troy,31,,Georgia State,21,,Veterans Memorial Stadium - Troy Alabama
453,8,Oct 15 2016,4:00 PM,Sat,(21) Utah,19,@,Oregon State,14,,Reser Stadium - Corvallis Oregon
454,8,Oct 15 2016,12:00 PM,Sat,Vanderbilt,17,@,Georgia,16,,Sanford Stadium - Athens Georgia
455,8,Oct 15 2016,10:30 PM,Sat,Washington State,27,,UCLA,21,,Martin Stadium - Pullman Washington
456,8,Oct 15 2016,12:00 PM,Sat,(20) West Virginia,48,@,Texas Tech,17,,Jones AT&T Stadium - Lubbock Texas
457,8,Oct 15 2016,2:30 PM,Sat,Western Kentucky,44,@,Middle Tennessee State,43,ESPN3,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
458,8,Oct 15 2016,3:30 PM,Sat,(24) Western Michigan,41,@,Akron,0,,InfoCision Stadium - Akron Ohio
459,9,Oct 20 2016,10:15 PM,Thu,(14) Boise State,28,,Brigham Young,27,ESPN,Albertsons Stadium - Boise Idaho
460,9,Oct 20 2016,7:30 PM,Thu,Troy,28,@,South Alabama,21,ESPNU,Ladd-Peebles Stadium - Mobile Alabama
461,9,Oct 20 2016,7:00 PM,Thu,Virginia Tech,37,,Miami (FL),16,ESPN,Lane Stadium - Blacksburg Virginia
462,9,Oct 21 2016,10:30 PM,Fri,California,52,,Oregon,49,ESPN,Memorial Stadium - Berkeley California
463,9,Oct 21 2016,10:30 PM,Fri,San Diego State,42,,San Jose State,3,ESPN2,Qualcomm Stadium - San Diego California
464,9,Oct 21 2016,7:00 PM,Fri,Temple,46,,South Florida,30,ESPN,Lincoln Financial Field - Philadelphia Pennsylvania
465,9,Oct 22 2016,3:00 PM,Sat,Akron,35,@,Ball State,25,,Scheumann Stadium - Muncie Indiana
466,9,Oct 22 2016,3:30 PM,Sat,(1) Alabama,33,,(6) Texas A&M,14,,Bryant-Denny Stadium - Tuscaloosa Alabama
467,9,Oct 22 2016,3:30 PM,Sat,Appalachian State,37,,Idaho,19,,Kidd Brewer Stadium - Boone North Carolina
468,9,Oct 22 2016,6:00 PM,Sat,(21) Auburn,56,,(17) Arkansas,3,,Jordan Hare Stadium - Auburn Alabama
469,9,Oct 22 2016,12:00 PM,Sat,Central Florida,24,@,Connecticut,16,,Rentschler Field - East Hartford Connecticut
470,9,Oct 22 2016,5:30 PM,Sat,Charlotte,27,@,Marshall,24,,Joan C. Edwards Stadium - Huntington West Virginia
471,9,Oct 22 2016,7:00 PM,Sat,Cincinnati,31,,East Carolina,19,,Nippert Stadium - Cincinnati Ohio
472,9,Oct 22 2016,3:00 PM,Sat,Colorado,10,@,Stanford,5,,Stanford Stadium - Stanford California
473,9,Oct 22 2016,5:30 PM,Sat,Colorado State,42,@,Nevada-Las Vegas,23,,Sam Boyd Stadium - Las Vegas Nevada
474,9,Oct 22 2016,8:00 PM,Sat,Georgia Southern,22,@,New Mexico State,19,,Aggie Memorial Stadium - Las Cruces New Mexico
475,9,Oct 22 2016,3:30 PM,Sat,Georgia State,31,,Tennessee-Martin,6,,Georgia Dome - Atlanta Georgia
476,9,Oct 22 2016,2:00 PM,Sat,Hawaii,34,@,Air Force,27,,Falcon Stadium - Colorado Springs Colorado
477,9,Oct 22 2016,12:00 PM,Sat,Kansas State,24,,Texas,21,,Bill Snyder Family Football Stadium - Manhattan Kansas
478,9,Oct 22 2016,7:30 PM,Sat,Kentucky,40,,Mississippi State,38,,Commonwealth Stadium - Lexington Kentucky
479,9,Oct 22 2016,9:00 PM,Sat,(25) Louisiana State,38,,(23) Mississippi,21,,Tiger Stadium - Baton Rouge Louisiana
480,9,Oct 22 2016,7:00 PM,Sat,Louisiana Tech,44,@,Florida International,24,ESPN3,FIU Stadium - Miami Florida
481,9,Oct 22 2016,7:00 PM,Sat,Louisiana-Lafayette,27,@,Texas State,3,,Bobcat Stadium - San Marcos Texas
482,9,Oct 22 2016,12:00 PM,Sat,(7) Louisville,54,,North Carolina State,13,,Papa John's Cardinal Stadium - Louisville Kentucky
483,9,Oct 22 2016,7:30 PM,Sat,Maryland,28,,Michigan State,17,BTN,Maryland Stadium - College Park Maryland
484,9,Oct 22 2016,12:00 PM,Sat,Miami (OH),40,@,Bowling Green State,26,,Doyt L. Perry Stadium - Bowling Green Ohio
485,9,Oct 22 2016,3:30 PM,Sat,(3) Michigan,41,,Illinois,8,,Michigan Stadium - Ann Arbor Michigan
486,9,Oct 22 2016,4:00 PM,Sat,Middle Tennessee State,51,@,Missouri,45,,Faurot Field - Columbia Missouri
487,9,Oct 22 2016,12:00 PM,Sat,Minnesota,34,,Rutgers,32,,TCF Bank Stadium - Minneapolis Minnesota
488,9,Oct 22 2016,3:30 PM,Sat,(24) Navy,42,,Memphis,28,CBSSN,Navy Marine Corps Memorial Stadium - Annapolis Maryland
489,9,Oct 22 2016,3:30 PM,Sat,(8) Nebraska,27,,Purdue,14,,Memorial Stadium - Lincoln Nebraska
490,9,Oct 22 2016,9:00 PM,Sat,New Mexico,59,,Louisiana-Monroe,17,,University Stadium - Albuquerque New Mexico
491,9,Oct 22 2016,3:00 PM,Sat,(22) North Carolina,35,@,Virginia,14,,Scott Stadium - Charlottesville Virginia
492,9,Oct 22 2016,12:00 PM,Sat,North Texas,35,@,Army,18,,Michie Stadium - West Point New York
493,9,Oct 22 2016,3:30 PM,Sat,Northern Illinois,44,,Buffalo,7,,Huskie Stadium - DeKalb Illinois
494,9,Oct 22 2016,12:00 PM,Sat,Northwestern,24,,Indiana,14,,Ryan Field - Evanston Illinois
495,9,Oct 22 2016,1:00 PM,Sat,Ohio,14,@,Kent State,10,,Dix Stadium - Kent Ohio
496,9,Oct 22 2016,8:00 PM,Sat,(16) Oklahoma,66,@,Texas Tech,59,,Jones AT&T Stadium - Lubbock Texas
497,9,Oct 22 2016,12:00 PM,Sat,Oklahoma State,44,@,Kansas,20,,Memorial Stadium - Lawrence Kansas
498,9,Oct 22 2016,8:00 PM,Sat,Penn State,24,,(2) Ohio State,21,ABC,Beaver Stadium - University Park Pennsylvania
499,9,Oct 22 2016,3:30 PM,Sat,Rice,65,,Prairie View A&M,44,,Rice Stadium - Houston Texas
500,9,Oct 22 2016,12:00 PM,Sat,South Carolina,34,,Massachusetts,28,,Williams-Brice Stadium - Columbia South Carolina
501,9,Oct 22 2016,7:00 PM,Sat,Southern Methodist,38,,(11) Houston,16,,Gerald J. Ford Stadium - Dallas Texas
502,9,Oct 22 2016,12:30 PM,Sat,Syracuse,28,@,Boston College,20,,Alumni Stadium - Chestnut Hill Massachusetts
503,9,Oct 22 2016,7:00 PM,Sat,Texas-El Paso,52,@,Texas-San Antonio,49,,Alamodome - San Antonio Texas
504,9,Oct 22 2016,12:00 PM,Sat,Toledo,31,,Central Michigan,17,,Glass Bowl - Toledo Ohio
505,9,Oct 22 2016,3:45 PM,Sat,Tulsa,50,,Tulane,27,,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
506,9,Oct 22 2016,4:00 PM,Sat,(19) Utah,52,@,UCLA,45,,Rose Bowl - Pasadena California
507,9,Oct 22 2016,10:30 PM,Sat,Utah State,38,,Fresno State,20,CBSSN,Merlin Olsen Field at Maverik Stadium - Logan Utah
508,9,Oct 22 2016,7:30 PM,Sat,Vanderbilt,35,,Tennessee State,17,,Vanderbilt Stadium - Nashville Tennessee
509,9,Oct 22 2016,6:30 PM,Sat,(5) Washington,41,,Oregon State,17,,Husky Stadium - Seattle Washington
510,9,Oct 22 2016,10:00 PM,Sat,Washington State,37,@,Arizona State,32,,Sun Devil Stadium - Tempe Arizona
511,9,Oct 22 2016,3:30 PM,Sat,(12) West Virginia,34,,Texas Christian,10,,Milan Puskar Stadium - Morgantown West Virginia
512,9,Oct 22 2016,7:00 PM,Sat,Western Kentucky,59,,Old Dominion,24,,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
513,9,Oct 22 2016,3:30 PM,Sat,(20) Western Michigan,45,,Eastern Michigan,31,,Waldo Stadium - Kalamazoo Michigan
514,9,Oct 22 2016,12:00 PM,Sat,(10) Wisconsin,17,@,Iowa,9,,Kinnick Stadium - Iowa City Iowa
515,9,Oct 22 2016,10:30 PM,Sat,Wyoming,42,@,Nevada,34,,MacKay Stadium - Reno Nevada
516,10,Oct 27 2016,7:30 PM,Thu,Appalachian State,34,@,Georgia Southern,10,ESPNU,Allen E. Paulson Stadium - Statesboro Georgia
517,10,Oct 27 2016,7:30 PM,Thu,Buffalo,41,,Akron,20,CBSSN,University of Buffalo Stadium - Buffalo New York
518,10,Oct 27 2016,7:30 PM,Thu,Ohio,31,@,Toledo,26,CBSSN,Glass Bowl - Toledo Ohio
519,10,Oct 27 2016,10:30 PM,Thu,Southern California,45,,California,24,ESPN,Los Angeles Memorial Coliseum - Los Angeles California
520,10,Oct 27 2016,7:00 PM,Thu,(25) Virginia Tech,39,@,Pittsburgh,36,ESPN,Heinz Field - Pittsburgh Pennsylvania
521,10,Oct 28 2016,10:30 PM,Fri,Air Force,31,@,Fresno State,21,ESPN2,Bulldog Stadium - Fresno California
522,10,Oct 28 2016,8:00 PM,Fri,San Diego State,40,@,Utah State,13,CBSSN,Merlin Olsen Field at Maverik Stadium - Logan Utah
523,10,Oct 28 2016,7:00 PM,Fri,South Florida,52,,(22) Navy,45,ESPN2,Raymond James Stadium - Tampa Florida
524,10,Oct 29 2016,7:00 PM,Sat,Arkansas State,51,,Louisiana-Monroe,10,,Centennial Bank Stadium - Jonesboro Arkansas
525,10,Oct 29 2016,3:30 PM,Sat,Army,21,@,Wake Forest,13,,BB&T Field - Winston-Salem North Carolina
526,10,Oct 29 2016,7:15 PM,Sat,(15) Auburn,40,@,Mississippi,29,,Vaught-Hemingway Stadium - Oxford Mississippi
527,10,Oct 29 2016,12:30 PM,Sat,Boston College,21,@,North Carolina State,14,,Carter Finley Stadium - Raleigh North Carolina
528,10,Oct 29 2016,8:00 PM,Sat,(3) Clemson,37,@,(12) Florida State,34,,Doak Campbell Stadium - Tallahassee Florida
529,10,Oct 29 2016,12:00 PM,Sat,East Carolina,41,,Connecticut,3,,Dowdy-Ficklen Stadium - Greenville North Carolina
530,10,Oct 29 2016,3:30 PM,Sat,(14) Florida,24,,Georgia,10,CBS,EverBank Field - Jacksonville Florida
531,10,Oct 29 2016,12:00 PM,Sat,Georgia Tech,38,,Duke,35,,Bobby Dodd Stadium - Atlanta Georgia
532,10,Oct 29 2016,12:00 PM,Sat,Houston,31,,Central Florida,24,,TDECU Stadium - Houston Texas
533,10,Oct 29 2016,3:30 PM,Sat,Indiana,42,,Maryland,36,,Memorial Stadium - Bloomington Indiana
534,10,Oct 29 2016,12:00 PM,Sat,Kansas State,31,@,Iowa State,26,,Jack Trice Stadium - Ames Iowa
535,10,Oct 29 2016,12:00 PM,Sat,Kent State,27,@,Central Michigan,24,,Kelly/Shorts Stadium - Mount Pleasant Michigan
536,10,Oct 29 2016,12:00 PM,Sat,Kentucky,35,@,Missouri,21,,Faurot Field - Columbia Missouri
537,10,Oct 29 2016,7:00 PM,Sat,Louisiana Tech,61,,Rice,16,,Joe Aillet Stadium - Ruston Louisiana
538,10,Oct 29 2016,12:00 PM,Sat,(5) Louisville,32,@,Virginia,25,,Scott Stadium - Charlottesville Virginia
539,10,Oct 29 2016,12:00 PM,Sat,Massachusetts,34,,Wagner,10,ESPN3,Warren McGuirk Alumni Stadium - Amherst Massachusetts
540,10,Oct 29 2016,3:30 PM,Sat,Miami (OH),28,@,Eastern Michigan,15,,Rynearson Stadium - Ypsilanti Michigan
541,10,Oct 29 2016,12:00 PM,Sat,(2) Michigan,32,@,Michigan State,23,,Spartan Stadium - East Lansing Michigan
542,10,Oct 29 2016,7:00 PM,Sat,Middle Tennessee State,42,@,Florida International,35,,FIU Stadium - Miami Florida
543,10,Oct 29 2016,12:00 PM,Sat,Minnesota,40,@,Illinois,17,,Memorial Stadium - Champaign Illinois
544,10,Oct 29 2016,3:30 PM,Sat,Mississippi State,56,,Samford,41,,Davis Wade Stadium - Starkville Mississippi
545,10,Oct 29 2016,11:59 PM,Sat,New Mexico,28,@,Hawaii,21,,Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu Hawaii
546,10,Oct 29 2016,3:30 PM,Sat,Notre Dame,30,,Miami (FL),27,NBC,Notre Dame Stadium - South Bend Indiana
547,10,Oct 29 2016,3:30 PM,Sat,(6) Ohio State,24,,Northwestern,20,ABC,Ohio Stadium - Columbus Ohio
548,10,Oct 29 2016,7:00 PM,Sat,(16) Oklahoma,56,,Kansas,3,,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
549,10,Oct 29 2016,12:00 PM,Sat,Oklahoma State,37,,(10) West Virginia,20,,Boone Pickens Stadium - Stillwater Oklahoma
550,10,Oct 29 2016,8:00 PM,Sat,Old Dominion,31,@,Texas-El Paso,21,,Sun Bowl Stadium - El Paso Texas
551,10,Oct 29 2016,5:00 PM,Sat,Oregon,54,,Arizona State,35,,Autzen Stadium - Eugene Oregon
552,10,Oct 29 2016,12:00 PM,Sat,(24) Penn State,62,@,Purdue,24,,Ross-Ade Stadium - West Lafayette Indiana
553,10,Oct 29 2016,10:30 PM,Sat,San Jose State,30,,Nevada-Las Vegas,24,CBSSN,CEFCU Stadium - San Jose California
554,10,Oct 29 2016,5:00 PM,Sat,South Alabama,13,,Georgia State,10,,Ladd-Peebles Stadium - Mobile Alabama
555,10,Oct 29 2016,7:15 PM,Sat,South Carolina,24,,(18) Tennessee,21,,Williams-Brice Stadium - Columbia South Carolina
556,10,Oct 29 2016,4:00 PM,Sat,Southern Methodist,35,@,Tulane,31,,Yulman Stadium - New Orleans Louisiana
557,10,Oct 29 2016,7:00 PM,Sat,Southern Mississippi,24,,Marshall,14,,M.M. Roberts Stadium - Hattiesburg Mississippi
558,10,Oct 29 2016,11:00 PM,Sat,Stanford,34,@,Arizona,10,,Arizona Stadium - Tucson Arizona
559,10,Oct 29 2016,3:30 PM,Sat,Temple,34,,Cincinnati,13,,Lincoln Financial Field - Philadelphia Pennsylvania
560,10,Oct 29 2016,3:30 PM,Sat,Texas,35,,(8) Baylor,34,,Darrell K Royal-Texas Memorial Stadium - Austin Texas
561,10,Oct 29 2016,7:30 PM,Sat,(9) Texas A&M,52,,New Mexico State,10,,Kyle Field - College Station Texas
562,10,Oct 29 2016,3:30 PM,Sat,Texas Tech,27,@,Texas Christian,24,,Amon G. Carter Stadium - Fort Worth Texas
563,10,Oct 29 2016,7:00 PM,Sat,Texas-San Antonio,31,,North Texas,17,,Alamodome - San Antonio Texas
564,10,Oct 29 2016,8:00 PM,Sat,Tulsa,59,@,Memphis,30,,Liberty Bowl Memorial Stadium - Memphis Tennessee
565,10,Oct 29 2016,3:30 PM,Sat,(4) Washington,31,@,(17) Utah,24,,Rice-Eccles Stadium - Salt Lake City Utah
566,10,Oct 29 2016,10:45 PM,Sat,Washington State,35,@,Oregon State,31,,Reser Stadium - Corvallis Oregon
567,10,Oct 29 2016,3:30 PM,Sat,Western Kentucky,52,@,Florida Atlantic,3,,FAU Football Stadium - Boca Raton Florida
568,10,Oct 29 2016,7:00 PM,Sat,(11) Wisconsin,23,,(7) Nebraska,17,ABC,Camp Randall Stadium - Madison Wisconsin
569,10,Oct 29 2016,7:00 PM,Sat,Wyoming,30,,(13) Boise State,28,CBSSN,War Memorial Stadium - Laramie Wyoming
570,11,Nov 1 2016,8:00 PM,Tue,Northern Illinois,45,,Bowling Green State,20,ESPN2,Huskie Stadium - DeKalb Illinois
571,11,Nov 1 2016,8:00 PM,Tue,(17) Western Michigan,52,@,Ball State,20,ESPN2,Scheumann Stadium - Muncie Indiana
572,11,Nov 2 2016,7:30 PM,Wed,Toledo,48,@,Akron,17,ESPN2,InfoCision Stadium - Akron Ohio
573,11,Nov 3 2016,7:30 PM,Thu,Arkansas State,31,@,Georgia State,16,ESPNU,Georgia Dome - Atlanta Georgia
574,11,Nov 3 2016,9:00 PM,Thu,(21) Colorado,20,,UCLA,10,FS1,Folsom Field - Boulder Colorado
575,11,Nov 3 2016,6:00 PM,Thu,Ohio,34,,Buffalo,10,CBSSN,Peden Stadium - Athens Ohio
576,11,Nov 3 2016,7:30 PM,Thu,(12) Oklahoma,34,@,Iowa State,24,ESPN,Jack Trice Stadium - Ames Iowa
577,11,Nov 4 2016,10:15 PM,Fri,(24) Boise State,45,,San Jose State,31,ESPN2,Albertsons Stadium - Boise Idaho
578,11,Nov 4 2016,6:00 PM,Fri,Miami (OH),37,,Central Michigan,17,CBSSN,Fred Yager Stadium - Oxford Ohio
579,11,Nov 4 2016,7:00 PM,Fri,Temple,21,@,Connecticut,0,ESPN2,Rentschler Field - East Hartford Connecticut
580,11,Nov 5 2016,12:00 PM,Sat,Air Force,31,@,Army,12,CBSSN,Michie Stadium - West Point New York
581,11,Nov 5 2016,8:00 PM,Sat,(1) Alabama,10,@,(15) Louisiana State,0,,Tiger Stadium - Baton Rouge Louisiana
582,11,Nov 5 2016,3:30 PM,Sat,Appalachian State,35,,Texas State,10,,Kidd Brewer Stadium - Boone North Carolina
583,11,Nov 5 2016,3:30 PM,Sat,Arkansas,31,,(10) Florida,10,,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
584,11,Nov 5 2016,12:00 PM,Sat,(11) Auburn,23,,Vanderbilt,16,,Jordan Hare Stadium - Auburn Alabama
585,11,Nov 5 2016,3:30 PM,Sat,Brigham Young,20,@,Cincinnati,3,,Nippert Stadium - Cincinnati Ohio
586,11,Nov 5 2016,5:00 PM,Sat,Central Florida,37,,Tulane,6,,Bright House Networks Stadium - Orlando Florida
587,11,Nov 5 2016,3:30 PM,Sat,Charlotte,38,@,Southern Mississippi,27,,M.M. Roberts Stadium - Hattiesburg Mississippi
588,11,Nov 5 2016,3:30 PM,Sat,(3) Clemson,54,,Syracuse,0,,Clemson Memorial Stadium - Clemson South Carolina
589,11,Nov 5 2016,3:30 PM,Sat,Colorado State,37,,Fresno State,0,,Sonny Lubick Field at Hughes Stadium - Fort Collins Colorado
590,11,Nov 5 2016,3:30 PM,Sat,Florida Atlantic,42,@,Rice,25,ESPN3,Rice Stadium - Houston Texas
591,11,Nov 5 2016,7:00 PM,Sat,(19) Florida State,24,@,North Carolina State,20,,Carter Finley Stadium - Raleigh North Carolina
592,11,Nov 5 2016,7:30 PM,Sat,Georgia,27,@,Kentucky,24,,Commonwealth Stadium - Lexington Kentucky
593,11,Nov 5 2016,5:00 PM,Sat,Idaho,23,@,Louisiana-Lafayette,13,,Cajun Field - Lafayette Louisiana
594,11,Nov 5 2016,12:00 PM,Sat,Illinois,31,,Michigan State,27,,Memorial Stadium - Champaign Illinois
595,11,Nov 5 2016,12:00 PM,Sat,Indiana,33,@,Rutgers,27,,High Points Solutions Stadium - Piscataway New Jersey
596,11,Nov 5 2016,5:30 PM,Sat,Louisiana Tech,45,@,North Texas,24,ESPN3,Apogee Stadium - Denton Texas
597,11,Nov 5 2016,5:00 PM,Sat,Louisiana-Monroe,42,,South Alabama,35,,Malone Stadium - Monroe Louisiana
598,11,Nov 5 2016,12:00 PM,Sat,(5) Louisville,52,@,Boston College,7,,Alumni Stadium - Chestnut Hill Massachusetts
599,11,Nov 5 2016,4:00 PM,Sat,Memphis,51,@,Southern Methodist,7,,Gerald J. Ford Stadium - Dallas Texas
600,11,Nov 5 2016,12:30 PM,Sat,Miami (FL),51,,Pittsburgh,28,,Hard Rock Stadium - Miami Gardens Florida
601,11,Nov 5 2016,3:30 PM,Sat,(2) Michigan,59,,Maryland,3,,Michigan Stadium - Ann Arbor Michigan
602,11,Nov 5 2016,3:30 PM,Sat,Minnesota,44,,Purdue,31,,TCF Bank Stadium - Minneapolis Minnesota
603,11,Nov 5 2016,12:00 PM,Sat,Mississippi,37,,Georgia Southern,27,,Vaught-Hemingway Stadium - Oxford Mississippi
604,11,Nov 5 2016,12:00 PM,Sat,Mississippi State,35,,(7) Texas A&M,28,,Davis Wade Stadium - Starkville Mississippi
605,11,Nov 5 2016,11:30 AM,Sat,Navy,28,,Notre Dame,27,CBS,EverBank Field - Jacksonville Florida
606,11,Nov 5 2016,10:15 PM,Sat,New Mexico,35,,Nevada,26,,University Stadium - Albuquerque New Mexico
607,11,Nov 5 2016,12:30 PM,Sat,(18) North Carolina,48,,Georgia Tech,20,,Kenan Memorial Stadium - Chapel Hill North Carolina
608,11,Nov 5 2016,8:00 PM,Sat,(6) Ohio State,62,,(9) Nebraska,3,ABC,Ohio Stadium - Columbus Ohio
609,11,Nov 5 2016,3:30 PM,Sat,(22) Oklahoma State,43,@,Kansas State,37,,Bill Snyder Family Football Stadium - Manhattan Kansas
610,11,Nov 5 2016,7:00 PM,Sat,Old Dominion,38,,Marshall,14,,S.B. Ballard Stadium - Norfolk Virginia
611,11,Nov 5 2016,7:30 PM,Sat,(20) Penn State,41,,Iowa,14,BTN,Beaver Stadium - University Park Pennsylvania
612,11,Nov 5 2016,7:00 PM,Sat,San Diego State,55,,Hawaii,0,,Qualcomm Stadium - San Diego California
613,11,Nov 5 2016,4:00 PM,Sat,South Carolina,31,,Missouri,21,,Williams-Brice Stadium - Columbia South Carolina
614,11,Nov 5 2016,7:00 PM,Sat,Southern California,45,,Oregon,20,,Los Angeles Memorial Coliseum - Los Angeles California
615,11,Nov 5 2016,3:30 PM,Sat,Stanford,26,,Oregon State,15,,Stanford Stadium - Stanford California
616,11,Nov 5 2016,4:00 PM,Sat,Tennessee,55,,Tennessee Tech,0,,Neyland Stadium - Knoxville Tennessee
617,11,Nov 5 2016,12:00 PM,Sat,Texas,45,@,Texas Tech,37,,Jones AT&T Stadium - Lubbock Texas
618,11,Nov 5 2016,3:30 PM,Sat,Texas Christian,62,@,(13) Baylor,22,,McLane Stadium - Waco Texas
619,11,Nov 5 2016,8:00 PM,Sat,Texas-El Paso,42,,Houston Baptist,10,,Sun Bowl Stadium - El Paso Texas
620,11,Nov 5 2016,2:30 PM,Sat,Texas-San Antonio,45,@,Middle Tennessee State,25,ESPN3,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
621,11,Nov 5 2016,3:30 PM,Sat,Troy,52,,Massachusetts,31,,Veterans Memorial Stadium - Troy Alabama
622,11,Nov 5 2016,8:00 PM,Sat,Tulsa,45,,East Carolina,24,,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
623,11,Nov 5 2016,3:30 PM,Sat,(23) Virginia Tech,24,@,Duke,21,,Wallace Wade Stadium - Durham North Carolina
624,11,Nov 5 2016,3:00 PM,Sat,Wake Forest,27,,Virginia,20,,BB&T Field - Winston-Salem North Carolina
625,11,Nov 5 2016,10:30 PM,Sat,(4) Washington,66,@,California,27,,Memorial Stadium - Berkeley California
626,11,Nov 5 2016,4:00 PM,Sat,(25) Washington State,69,,Arizona,7,,Martin Stadium - Pullman Washington
