Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
71,2,Sep 3 2016,3:30 PM,Sat,Texas A&M,31,,(16) UCLA,24,CBS,Kyle Field - College Station Texas
72,2,Sep 3 2016,8:00 PM,Sat,(13) Texas Christian,59,,South Dakota State,41,,Amon G. Carter Stadium - Fort Worth Texas
73,2,Sep 3 2016,3:30 PM,Sat,Texas State,56,@,Ohio,54,CBSSN,Peden Stadium - Athens Ohio
74,2,Sep 3 2016,8:00 PM,Sat,Texas Tech,69,,Stephen F. Austin,17,,Jones AT&T Stadium - Lubbock Texas
75,2,Sep 3 2016,8:00 PM,Sat,Texas-El Paso,38,,New Mexico State,22,,Sun Bowl Stadium - El Paso Texas
76,2,Sep 3 2016,7:00 PM,Sat,Texas-San Antonio,26,,Alabama State,13,,Alamodome - San Antonio Texas
77,2,Sep 3 2016,6:00 PM,Sat,Troy,57,,Austin Peay,17,ESPN3,Veterans Memorial Stadium - Troy Alabama
78,2,Sep 3 2016,7:00 PM,Sat,Tulsa,45,,San Jose State,10,CBSSN,Chapman Stadium - Tulsa Oklahoma
79,2,Sep 3 2016,12:30 PM,Sat,Virginia Tech,36,,Liberty,13,ESPN3,Lane Stadium - Blacksburg Virginia
80,2,Sep 3 2016,2:00 PM,Sat,(14) Washington,48,,Rutgers,13,PAC12,Husky Stadium - Seattle Washington
81,2,Sep 3 2016,12:00 PM,Sat,West Virginia,26,,Missouri,11,FS1,Milan Puskar Stadium - Morgantown West Virginia
82,2,Sep 3 2016,12:00 PM,Sat,Western Michigan,22,@,Northwestern,21,ESPNU,Ryan Field - Evanston Illinois
83,2,Sep 3 2016,3:30 PM,Sat,Wisconsin,16,,(5) Louisiana State,14,ABC,Lambeau Field - Green Bay Wisconsin
84,2,Sep 3 2016,10:30 PM,Sat,Wyoming,40,,Northern Illinois,34,CBSSN,War Memorial Stadium - Laramie Wyoming
85,2,Sep 4 2016,3:30 PM,Sun,Old Dominion,54,,Hampton,21,,S.B. Ballard Stadium - Norfolk Virginia
86,2,Sep 4 2016,7:30 PM,Sun,Texas,50,,(10) Notre Dame,47,ABC,Darrell K Royal-Texas Memorial Stadium - Austin Texas
87,2,Sep 5 2016,8:00 PM,Mon,(4) Florida State,45,,(11) Mississippi,34,ESPN,Camping World Stadium - Orlando Florida
88,3,Sep 9 2016,8:00 PM,Fri,(13) Louisville,62,@,Syracuse,28,ESPN2,Carrier Dome - Syracuse New York
89,3,Sep 9 2016,7:30 PM,Fri,Maryland,41,@,Florida International,14,,FIU Stadium - Miami Florida
90,3,Sep 10 2016,2:00 PM,Sat,Air Force,48,,Georgia State,14,CAMP,Falcon Stadium - Colorado Springs Colorado
91,3,Sep 10 2016,3:30 PM,Sat,(1) Alabama,38,,Western Kentucky,10,ESPN2,Bryant-Denny Stadium - Tuscaloosa Alabama
92,3,Sep 10 2016,3:30 PM,Sat,Appalachian State,31,,Old Dominion,7,ESPN3,Kidd Brewer Stadium - Boone North Carolina
93,3,Sep 10 2016,10:45 PM,Sat,Arizona,31,,Grambling State,21,PAC12,Arizona Stadium - Tucson Arizona
94,3,Sep 10 2016,10:00 PM,Sat,Arizona State,68,,Texas Tech,55,FS1,Sun Devil Stadium - Tempe Arizona
95,3,Sep 10 2016,7:00 PM,Sat,Arkansas,41,@,(15) Texas Christian,38,ESPN,Amon G. Carter Stadium - Fort Worth Texas
96,3,Sep 10 2016,12:00 PM,Sat,Army,31,,Rice,14,CBSSN,Michie Stadium - West Point New York
97,3,Sep 10 2016,7:30 PM,Sat,Auburn,51,,Arkansas State,14,SECN,Jordan Hare Stadium - Auburn Alabama
98,3,Sep 10 2016,3:30 PM,Sat,(23) Baylor,40,,Southern Methodist,13,FS1,McLane Stadium - Waco Texas
99,3,Sep 10 2016,10:15 PM,Sat,Boise State,31,,Washington State,28,ESPN2,Albertsons Stadium - Boise Idaho
100,3,Sep 10 2016,12:00 PM,Sat,Boston College,26,@,Massachusetts,7,ESPN3,Gillette Stadium - Foxborough Massachusetts
101,3,Sep 10 2016,3:30 PM,Sat,Bowling Green State,27,,North Dakota,26,ESPN3,Doyt L. Perry Stadium - Bowling Green Ohio
102,3,Sep 10 2016,12:00 PM,Sat,Central Michigan,30,@,(22) Oklahoma State,27,FS1,Boone Pickens Stadium - Stillwater Oklahoma
103,3,Sep 10 2016,6:00 PM,Sat,Charlotte,47,,Elon,14,,Jerry Richardson Stadium - Charlotte North Carolina
104,3,Sep 10 2016,12:00 PM,Sat,Cincinnati,38,@,Purdue,20,BTN,Ross Ade Stadium - West Lafayette Indiana
105,3,Sep 10 2016,12:30 PM,Sat,(2) Clemson,30,,Troy,24,ESPN3,Clemson Memorial Stadium - Clemson South Carolina
106,3,Sep 10 2016,5:30 PM,Sat,Colorado,56,,Idaho State,7,,Folsom Field - Boulder Colorado
107,3,Sep 10 2016,4:00 PM,Sat,Colorado State,23,,Texas-San Antonio,14,CAMP,Sonny Lubick Field at Hughes Stadium - Fort Collins Colorado
108,3,Sep 10 2016,12:00 PM,Sat,East Carolina,33,,North Carolina State,30,ESPNU,Dowdy-Ficklen Stadium - Greenville North Carolina
109,3,Sep 10 2016,3:30 PM,Sat,Eastern Illinois,21,@,Miami (OH),17,ESPN3,Fred Yager Stadium - Oxford Ohio
110,3,Sep 10 2016,3:30 PM,Sat,Florida,45,,Kentucky,7,CBS,Ben Hill Griffin Stadium - Gainesville Florida
111,3,Sep 10 2016,12:30 PM,Sat,(3) Florida State,52,,Charleston Southern,8,ESPN3,Doak Campbell Stadium - Tallahassee Florida
112,3,Sep 10 2016,10:00 PM,Sat,Fresno State,31,,Sacramento State,3,,Bulldog Stadium - Fresno California
113,3,Sep 10 2016,12:00 PM,Sat,(9) Georgia,26,,Nicholls State,24,SECN,Sanford Stadium - Athens Georgia
114,3,Sep 10 2016,7:00 PM,Sat,Georgia Southern,24,@,South Alabama,9,ESPN3,Ladd-Peebles Stadium - Mobile Alabama
115,3,Sep 10 2016,3:00 PM,Sat,Georgia Tech,35,,Mercer,10,,Bobby Dodd Stadium - Atlanta Georgia
116,3,Sep 10 2016,11:59 PM,Sat,Hawaii,41,,Tennessee-Martin,36,,Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu Hawaii
117,3,Sep 10 2016,12:00 PM,Sat,(6) Houston,42,,Lamar,0,ESPN3,TDECU Stadium - Houston Texas
118,3,Sep 10 2016,3:30 PM,Sat,Illinois State,9,@,Northwestern,7,BTN,Ryan Field - Evanston Illinois
