Player_id,SV_Player_id,Name
2743,3831,Kris Humphries
703,3012,Kurt Thomas
2198,3511,Kwame Brown
2594,3754,Kyle Korver
200768,4152,Kyle Lowry
201602,4500,Kyle Weaver
201178,4315,Kyrylo Fesenko
1885,3327,Lamar Odom
200746,4130,LaMarcus Aldridge
441,n/a,Lamond Murray
200984,n/a,Lance Allred
111,n/a,LaPhonso Ellis
1930,n/a,Lari Ketner
1919,n/a,Laron Profit
1716,3251,Larry Hughes
913,n/a,Larry Johnson
1683,n/a,Larry Robinson
84,n/a,Latrell Sprewell
2068,n/a,Lavor Postell
1444,n/a,Lawrence Funderburke
101160,n/a,Lawrence Roberts
2571,3731,Leandro Barbosa
2544,3704,LeBron James
1924,n/a,Lee Nailon
200796,4177,Leon Powe
1910,n/a,Leon Smith
201991,4663,Lester Hudson
101132,3953,Linas Kleiza
283,n/a,Lindsey Hunter
2669,n/a,Linton Johnson
2763,n/a,Lionel Chalmers
2437,n/a,Lonny Baxter
2254,n/a,Loren Woods
953,n/a,Lorenzen Wright
200811,4190,Lou Amundson
101150,3971,Lou Williams
919,n/a,Loy Vaught
26,n/a,Luc Longley
201601,4498,Luc Mbah a Moute
446,n/a,Lucious Harris
2784,n/a,Luis Flores
2449,3653,Luis Scola
2739,n/a,Luke Jackson
2557,3717,Luke Ridnour
101195,n/a,Luke Schenscher
2575,3735,Luke Walton
2736,3824,Luol Deng
101129,3950,Luther Head
2696,n/a,Lynn Greer
1766,n/a,Maceo Baston
2573,n/a,Maciej Lampe
51,n/a,Mahmoud Abdul-Rauf
2124,3507,Malik Allen
201612,n/a,Malik Hairston
990,n/a,Malik Rose
2055,n/a,Mamadou N'diaye
1938,3380,Manu Ginobili
201188,4325,Marc Gasol
1531,n/a,Marc Jackson
101162,3983,Marcin Gortat
201158,4296,Marco Belinelli
2556,3716,Marcus Banks
948,3084,Marcus Camby
2033,n/a,Marcus Fizer
2409,n/a,Marcus Haislip
202068,4689,Marcus Landry
201977,4648,Marcus Thornton
200790,n/a,Marcus Vinicius
200766,n/a,Marcus Williams
201173,4311,Marcus Williams
200776,4157,Mardy Collins
201596,4496,Mario Chalmers
53,n/a,Mario Elie
2435,n/a,Mario Kasun
201238,4362,Mario West
1548,n/a,Mark Blount
95,n/a,Mark Bryant
349,n/a,Mark Jackson
2891,n/a,Mark Jones
2058,n/a,Mark Madsen
998,n/a,Mark Pope
1110,n/a,Mark Strickland
2060,n/a,Marko Jaric
2605,3764,Marquis Daniels
201578,4478,Marreese Speights
101110,3932,Martell Webster
101149,n/a,Martynas Andriuskevicius
101107,3928,Marvin Williams
2043,n/a,Mateen Cleaves
2440,3643,Matt Barnes
2588,3748,Matt Bonner
672,n/a,Matt Bullard
2679,3785,Matt Carroll
2782,n/a,Matt Freije
761,n/a,Matt Geiger
1723,n/a,Matt Harpring
1074,n/a,Matt Maloney
101190,n/a,Matt Walsh
200772,4156,Maurice Ager
2486,n/a,Maurice Baker
2466,n/a,Maurice Carter
2230,3568,Maurice Evans
1508,n/a,Maurice Taylor
2246,3547,Mehmet Okur
2408,3610,Melvin Ely
2684,n/a,Melvin Sanders
2370,n/a,Mengke Bateer
1897,3339,Metta World Peace
201563,4388,Michael Beasley
2214,n/a,Michael Bradley
688,n/a,Michael Curry
1722,n/a,Michael Dickerson
1720,n/a,Michael Doleac
714,n/a,Michael Finley
1138,n/a,Michael Hawkins
893,n/a,Michael Jordan
1709,n/a,Michael Olowokandi
2072,3442,Michael Redd
1913,n/a,Michael Ruffin
63,n/a,Michael Smith
1565,n/a,Michael Stewart
2552,n/a,Michael Sweetney
101153,3974,Mickael Gelabale
2554,3714,Mickael Pietrus
2471,n/a,Mike Batiste
1710,3245,Mike Bibby
201144,4246,Mike Conley
2399,3601,Mike Dunleavy
200837,n/a,Mike Hall
200839,4230,Mike Harris
2229,3577,Mike James
2034,3404,Mike Miller
2130,n/a,Mike Penberthy
2065,n/a,Mike Smith
201446,n/a,Mike Taylor
2366,3692,Mike Wilks
1630,3308,Mikki Moore
101148,n/a,Mile Ilic
1960,n/a,Milt Palacio
2397,3599,Ming Yao
782,n/a,Mitch Richmond
348,n/a,Mitchell Butler
2590,3750,Mo Williams
101145,3966,Monta Ellis
42,n/a,Monty Williams
983,n/a,Moochie Norris
302,n/a,Mookie Blaylock
201165,4303,Morris Almond
2050,3420,Morris Peterson
200754,n/a,Mouhamed Sene
177,n/a,Muggsy Bogues
1572,n/a,Nate Huffman
101126,3947,Nate Robinson
201605,n/a,Nathan Jawai
1737,3272,Nazr Mohammed
2569,n/a,Ndudi Ebi
2420,3622,Nenad Krstic
2403,3605,Nene Hilario
98,n/a,Nick Anderson
2555,3715,Nick Collison
201174,n/a,Nick Fazekas
89,n/a,Nick Van Exel
201156,4294,Nick Young
201587,4487,Nicolas Batum
2401,3603,Nikoloz Tskitishvili
101230,n/a,Noel Felix
2369,n/a,Norman Richardson
201564,4389,O.J. Mayo
1918,n/a,Obinna Ekezie
178,n/a,Olden Polynice
200762,4146,Oleksiy Pecherov
201802,n/a,Oliver Lafayette
932,n/a,Oliver Miller
2071,n/a,Olumide Oyedeji
2241,n/a,Omar Cook
201956,4628,Omri Casspi
101158,3979,Orien Greene
2351,n/a,Oscar Torres
970,n/a,Othella Harrington
201629,n/a,Othello Hunter
201785,4711,Othyus Jeffers
901,n/a,Otis Thorpe
136,n/a,P.J. Brown
2776,n/a,Pape Sow
2469,n/a,Pat Burke
1727,n/a,Pat Garrity
121,n/a,Patrick Ewing
200753,n/a,Patrick O'Bryant
201988,4660,Patty Mills
2200,3513,Pau Gasol
200781,n/a,Paul Davis
1514,n/a,Paul Grant
2101,n/a,Paul McPherson
200794,4175,Paul Millsap
1718,3253,Paul Pierce
2321,n/a,Paul Shirley
2750,n/a,Pavel Podkolzin
978,3119,Peja Stojakovic
2143,n/a,Pepe Sanchez
442,n/a,Pervis Ellison
2762,n/a,Peter John Ramos
200782,4163,PJ Tucker
461,n/a,Popeye Jones
200822,4201,Pops Mensah-Bonsu
1542,n/a,Predrag Drobnjak
2453,n/a,Predrag Savovic
2056,n/a,Primoz Brezec
2047,3417,Quentin Richardson
200763,n/a,Quincy Douby
1900,n/a,Quincy Lewis
2624,3767,Quinton Ross
2417,n/a,Qyntel Woods
1711,n/a,Raef LaFrentz
2737,n/a,Rafael Araujo
1747,n/a,Rafer Alston
1952,3467,Raja Bell
200765,4149,Rajon Rondo
201196,4333,Ramon Sessions
201043,n/a,Randolph Morris
753,n/a,Randy Brown
